gender,class,gpa,age,weight,height,smoke,drink,wechat,depress1,depress2,depress3,depress4,depress5,depress6,depress7,sad1,sad2,sad3,sad4,sad5,sad6,sad7,sad8,sad9,sad10,happy1,happy2,happy3,happy4
1,B,3.1,20,50,160,0,0,65,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,6,3
1,B,3.159,22,55,163,0,0,205,1,1,2,1,1,1,1,2,3,1,1,2,2,2,3,3,1,4,3,2,5
1,B,3.838,22,49,163,0,1,150,1,1,0,1,1,1,1,2,1,0,1,1,1,2,1,2,2,7,7,6,2
1,B,4,22,42,155,0,0,110,1,0,0,1,0,1,0,1,1,1,0,1,NA,1,1,1,1,7,7,6,2
0,B,3.568,22,83,185,0,1,150,1,0,0,1,0,1,1,1,1,1,1,1,1,1,2,1,1,6,6,6,4
0,B,3.385,23,52,168,1,1,250,1,0,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,3,6,5,5
1,B,3.971,21,48,159,0,1,98,1,1,3,1,1,1,1,2,1,1,2,2,1,1,1,1,1,6,6,5,2
1,B,2.256,22,52,163,0,1,500,1,0,0,1,0,1,1,1,1,0,0,1,0,2,1,1,0,4,5,6,3
1,C,3.265,22,105,163,0,0,150,1,0,0,0,1,0,0,0,0,1,1,2,2,1,2,1,1,6,6,5,2
0,C,3.473,21,65,165,1,1,68,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,7,7,7,3
0,C,2.373,21,66,180,0,1,390,1,1,0,1,0,0,0,1,2,0,1,1,2,0,2,NA,1,5,5,7,3
1,C,3.9,21,55,163,0,0,119,1,1,0,1,1,0,0,0,1,1,1,0,0,0,2,0,0,6,6,6,3
1,C,3.415,22,51,157,0,0,50,1,0,1,1,0,0,0,1,1,1,2,1,1,1,1,0,0,3,6,5,3
1,C,3.932,22,52,165,0,0,321,1,1,1,1,1,0,0,1,1,1,1,2,1,2,2,2,1,5,5,5,3
1,C,3.315,21,49,165,0,0,108,0,1,1,1,0,0,0,1,2,1,2,0,1,1,2,1,1,6,6,6,2
1,C,3.782,21,60,160,0,0,200,1,1,1,1,NA,1,0,1,2,1,2,1,1,1,2,1,1,5,5,6,4
1,C,3.179,22,57,168,0,0,150,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,3,2,6,5
1,C,3.082,23,55,167,0,0,173,1,1,2,1,1,1,0,2,1,2,2,1,0,1,1,1,1,5,5,3,5
1,C,3.282,22,48,162,0,0,156,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,0,0,6,6,6,2
1,C,3.224,22,42,162,0,1,359,1,1,1,1,1,0,0,0,2,0,2,2,1,1,2,2,1,6,6,6,2
0,C,3.015,22,80,183,1,1,200,1,1,1,1,1,2,1,0,0,0,0,2,2,1,2,1,0,5,6,4,4
0,C,3.543,21,62,178,1,1,47,1,0,0,1,0,0,0,0,1,2,0,1,0,1,2,1,0,3,4,5,3
1,C,3.724,21,54,168,0,0,130,1,1,0,1,0,1,1,1,1,1,1,1,0,0,2,1,0,5,6,7,4
0,C,4.057,21,74,181,1,1,230,2,2,0,1,1,1,0,1,2,1,3,2,1,2,2,1,1,5,5,3,3
0,C,3.107,22,70,180,1,1,100,1,0,1,0,0,0,1,2,2,0,1,2,1,1,1,1,1,6,6,6,4
0,C,2.683,21,65,178,1,1,100,1,0,1,1,1,1,0,1,3,2,2,2,2,1,3,1,2,5,4,5,2
0,C,2.81,23,67,176,1,1,166,1,0,0,1,1,1,1,1,1,2,2,1,1,1,2,2,1,5,5,4,4
1,C,3.238,22,50,162,0,0,50,1,0,1,1,1,1,0,2,2,1,1,2,0,1,2,1,1,6,6,5,1
1,C,3.759,21,45,156,0,0,230,0,0,2,1,1,1,1,1,2,1,2,1,0,0,1,0,1,6,6,7,2
1,C,3.391,22,55,163,0,0,113,1,1,1,1,1,1,1,2,2,2,1,3,1,1,3,1,1,6,6,5,2
1,C,3.753,22,45,163,0,0,30,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,7,7,7,3
1,C,3.538,22,50,160,0,0,100,1,1,0,1,1,0,2,1,0,0,2,1,1,2,1,2,2,3,5,2,6
0,C,3.115,21,70,175,1,1,120,1,1,1,1,1,0,1,1,2,2,2,3,1,1,2,1,1,5,5,6,2
0,C,3.037,21,65,170,0,0,300,1,1,0,1,1,1,1,1,1,0,0,2,0,1,0,1,1,6,6,5,4
0,C,2.88,21,85,182,1,1,80,1,1,1,0,0,0,0,0,1,2,2,2,1,1,1,1,0,6,6,7,4
1,C,3.365,22,44,163,0,1,51,1,1,1,1,2,1,0,0,2,0,1,1,1,3,1,2,1,3,4,2,5
1,D,4.006,22,55,161,0,1,169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,2
0,D,4.153,22,74,177,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,6
1,D,3.418,21,96,167,0,0,120,1,0,1,1,0,0,0,2,1,0,0,1,0,0,2,0,0,6,6,5,5
1,D,3.406,21,56,165,0,0,110,1,0,1,1,1,1,1,3,0,1,2,1,0,1,2,1,1,6,5,4,4
1,D,3.285,22,55,165,0,0,80,2,0,2,2,2,1,1,2,3,3,3,3,2,2,3,2,3,4,3,4,4
0,D,2.912,23,75,181,1,0,100,1,1,2,2,1,2,1,1,3,2,3,2,2,0,3,0,2,5,3,4,6
0,D,3.6,22,83,180,0,1,53,1,0,0,0,0,1,1,1,1,0,1,0,1,2,3,0,0,6,6,6,1
1,D,4.062,20,65,164,0,0,137,1,1,1,2,2,3,1,1,3,2,3,2,2,2,2,3,3,4,4,4,5
1,D,3.594,21,54,162,0,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4
0,D,2.218,21,69,182,0,0,117,1,1,0,1,0,1,1,0,0,0,1,1,2,0,1,0,0,6,6,7,3
0,D,3.162,22,77,180,0,0,800,1,0,0,1,0,1,0,0,1,0,0,2,2,0,2,2,0,1,1,7,1
0,D,3.374,22,60,173,0,1,450,1,0,0,0,1,1,1,0,1,0,0,1,0,0,3,1,0,7,7,6,7
1,D,3.379,22,45,158,0,1,30,1,1,1,1,0,1,0,2,1,2,1,3,1,2,3,2,2,4,4,3,4
0,D,2.821,22,70,181,1,1,80,2,1,2,1,1,1,1,1,1,0,0,0,2,0,2,0,2,2,4,4,5
1,D,3.938,21,50,162,0,0,50,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,5,5,5,5
0,D,1.173,22,65,182,0,0,60,1,2,1,2,1,2,1,2,1,2,1,2,0,2,1,2,1,5,6,5,3
0,D,2.247,22,55,178,1,0,100,1,1,1,1,1,0,0,2,3,2,2,3,1,1,2,1,1,6,6,4,5
0,D,2.694,21,75,178,0,1,120,0,1,0,1,0,1,1,0,1,1,1,2,0,0,3,2,1,6,6,2,5
1,D,3.918,21,50,165,0,0,70,0,0,2,1,0,0,3,2,1,2,1,0,0,1,0,1,1,7,7,4,2
1,D,3.203,20,50,164,0,0,690,1,0,1,1,1,1,1,3,1,0,0,1,0,1,1,1,1,7,7,7,2
1,D,3.885,22,55,167,0,0,0,1,1,0,1,1,1,0,0,1,2,1,2,0,0,2,1,2,6,7,6,4
1,D,3.976,22,53,165,0,0,135,2,1,1,2,1,1,1,2,2,1,2,3,0,1,3,1,1,6,6,5,3
0,D,3.003,21,55,178,0,0,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,6,6,3
1,D,3.388,22,60,160,0,1,141,1,0,1,0,1,0,0,0,1,1,1,1,0,0,2,1,0,7,7,7,2
1,D,3.409,21,48,165,0,0,80,3,1,0,1,1,0,1,1,2,3,1,1,1,1,1,1,1,6,6,5,5
1,D,3.426,22,53,164,0,0,51,1,0,1,1,1,0,1,1,1,1,1,2,1,2,3,2,2,5,5,4,4
0,D,2.212,23,80,188,1,0,150,1,1,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,7,7
1,D,4.191,21,46,160,0,0,79,0,1,0,1,0,0,0,1,2,0,1,1,0,2,2,1,1,5,5,5,4
1,D,2.971,21,54,165,0,1,300,1,1,0,1,1,2,0,2,2,2,2,2,1,2,3,0,2,3,5,5,4
1,E,4.167,22,50,165,0,0,30,1,1,0,1,1,0,2,1,2,2,2,1,1,1,2,2,1,5,5,5,5
1,E,2.967,22,55,169,0,1,157,1,1,1,1,1,1,2,1,1,1,1,0,0,1,1,0,0,5,6,5,2
1,E,3.627,22,50,168,0,0,87,1,1,0,1,0,0,0,1,1,1,2,0,1,2,2,2,1,6,6,6,5
0,E,3.21,22,60,180,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,5
0,E,2.583,22,80,177,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,5
1,E,3.157,21,57,165,0,0,90,2,1,3,2,1,0,3,1,1,2,1,0,0,1,1,2,1,4,4,4,5
0,E,3.843,21,75,178,1,0,203,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,5,4,5,4
1,E,3.127,21,59,162,0,0,88,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,NA,4,4
1,E,3.187,20,46,160,0,0,1000,1,1,0,1,0,1,1,2,2,2,2,2,2,2,2,0,0,7,7,7,5
1,E,3.657,21,55,172,0,0,90,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2,1,0,7,7,7,6
0,E,3.31,22,90,175,0,1,64,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,5
0,E,3.137,23,65,170,0,0,20,1,0,0,0,0,1,1,1,1,0,1,2,0,2,2,0,0,5,4,5,3
0,E,2.103,21,54,176,0,0,56,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,5,5,6,4
1,E,3.13,21,48,160,0,0,26,1,0,1,1,1,1,0,1,2,1,1,2,1,1,2,2,1,6,5,5,4
1,E,4.04,22,50,165,0,0,100,0,0,0,1,0,1,1,1,1,0,2,0,1,2,1,1,1,4,4,4,2
0,E,2.493,23,70,175,1,1,57,1,1,0,1,1,0,0,0,2,0,3,2,1,0,2,0,0,6,5,4,2
0,E,2.597,22,60,183,1,0,61,1,1,1,1,3,0,1,0,3,2,3,2,2,3,0,2,3,1,3,3,3
0,E,2.877,22,80,165,1,1,160,1,1,1,1,2,2,1,1,1,1,0,1,1,0,1,0,1,7,7,7,7
0,E,2.723,21,70,180,0,0,180,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,4,7,7
1,E,3.76,22,49,162,0,0,86,1,1,2,1,1,1,0,1,2,0,1,2,1,0,2,1,1,5,4,5,3
0,E,3.583,21,90,180,1,1,186,1,0,1,0,0,1,0,1,2,2,1,0,1,1,2,2,1,5,5,5,4
1,E,2.94,21,50,163,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,1
1,E,3.023,21,55,165,0,0,50,1,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,5,5,3
1,E,2.7,23,53,164,0,0,100,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,5,5,4,4
1,E,3.59,22,65,160,0,1,80,1,0,0,0,1,1,0,0,3,0,2,0,0,3,1,1,1,6,6,5,1
1,E,3.227,22,53,162,0,0,700,0,0,0,1,1,1,0,1,1,1,2,2,1,1,2,1,1,6,6,7,5
0,E,2.887,22,77,180,1,0,100,2,1,2,1,1,2,1,1,2,2,2,0,0,2,1,3,2,4,5,2,7
0,E,3.067,22,72,177,1,0,20,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,5,5,5,4
1,E,4.03,22,60,165,0,0,50,1,0,1,1,1,1,0,1,1,1,1,1,1,1,2,2,1,4,4,4,4
0,E,3.94,23,56,170,0,0,100,2,1,0,1,0,1,0,1,1,1,1,1,1,0,2,0,1,7,7,7,7
1,E,3.523,23,70,165,0,0,900,1,0,0,0,0,1,1,3,2,2,2,3,2,0,3,0,0,7,6,7,3
0,F,3.112,23,90,180,0,1,30,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,6,6,7,4
0,F,2.376,22,80,170,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,5
1,F,3.588,21,44,168,0,0,200,1,0,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,5,6,6,3
1,F,3.28,21,58,172,0,0,200,1,1,1,1,1,2,2,0,1,3,1,1,1,0,3,1,0,6,3,4,4
0,F,3.368,21,91,178,1,1,162,0,0,0,1,0,1,1,1,2,1,2,2,0,0,2,0,0,7,7,7,4
0,F,3.766,22,63,165,1,1,200,1,1,2,1,1,1,1,1,0,2,1,2,0,1,0,0,0,5,5,4,3
0,F,3.202,22,65,170,1,1,197,1,0,3,0,0,1,2,0,2,1,3,2,1,0,2,0,1,4,4,5,3
0,F,3.227,23,85,180,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,5
1,F,4.22,21,48,158,0,0,200,1,1,2,1,1,0,1,2,2,1,1,2,1,0,1,0,0,4,6,3,4
0,F,3.351,21,89,176,1,0,500,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,1,6,6,4,5
0,F,2.712,22,60,170,1,1,100,0,1,1,3,2,1,2,0,0,1,2,0,2,3,1,0,0,7,4,7,7
1,F,3.534,21,60,160,1,1,200,1,1,1,1,1,1,1,1,2,2,2,1,1,2,3,2,3,5,6,5,6
1,F,3.566,22,50,160,0,0,102,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3,1,1,5,4,6,2
0,F,3.168,21,53,178,1,1,176,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,6,5,3
1,F,3.749,22,58,168,0,0,100,1,1,0,1,0,1,0,0,0,0,1,1,0,0,2,1,0,7,7,6,1
0,F,3.871,22,75,183,1,1,200,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5,2,4,5
