word,lexicon
other,evaluation
others,evaluation
otherwise,evaluation
ought,evaluation
our,evaluation
ours,evaluation
ourselves,evaluation
out,evaluation
outside,evaluation
over,evaluation
overall,evaluation
own,evaluation
p,evaluation
per,evaluation
perhaps,evaluation
placed,evaluation
plus,evaluation
presumably,evaluation
probably,evaluation
q,evaluation
que,evaluation
qv,evaluation
r,evaluation
rather,evaluation
rd,evaluation
re,evaluation
really,evaluation
regarding,evaluation
regardless,evaluation
regards,evaluation
relatively,evaluation
respectively,evaluation
s,evaluation
said,evaluation
same,evaluation
saw,evaluation
say,evaluation
saying,evaluation
says,evaluation
second,evaluation
secondly,evaluation
see,evaluation
seeing,evaluation
seem,evaluation
seemed,evaluation
seeming,evaluation
seems,evaluation
seen,evaluation
self,evaluation
selves,evaluation
sent,evaluation
seven,evaluation
several,evaluation
shall,evaluation
she,evaluation
should,evaluation
since,evaluation
six,evaluation
so,evaluation
some,evaluation
somebody,evaluation
somehow,evaluation
someone,evaluation
something,evaluation
sometime,evaluation
sometimes,evaluation
somewhat,evaluation
somewhere,evaluation
soon,evaluation
specified,evaluation
specify,evaluation
specifying,evaluation
still,evaluation
sub,evaluation
such,evaluation
sup,evaluation
sure,evaluation
t,evaluation
t's,evaluation
take,evaluation
taken,evaluation
tell,evaluation
tends,evaluation
th,evaluation
than,evaluation
thanx,evaluation
that,evaluation
that's,evaluation
thats,evaluation
the,evaluation
their,evaluation
theirs,evaluation
them,evaluation
themselves,evaluation
then,evaluation
thence,evaluation
there,evaluation
there's,evaluation
thereafter,evaluation
thereby,evaluation
therefore,evaluation
therein,evaluation
theres,evaluation
thereupon,evaluation
these,evaluation
they,evaluation
they'd,evaluation
they'll,evaluation
they're,evaluation
they've,evaluation
think,evaluation
third,evaluation
this,evaluation
those,evaluation
though,evaluation
three,evaluation
through,evaluation
throughout,evaluation
thru,evaluation
thus,evaluation
to,evaluation
together,evaluation
too,evaluation
took,evaluation
toward,evaluation
towards,evaluation
tries,evaluation
twice,evaluation
two,evaluation
u,evaluation
un,evaluation
under,evaluation
unless,evaluation
unlikely,evaluation
until,evaluation
unto,evaluation
up,evaluation
upon,evaluation
us,evaluation
using,evaluation
usually,evaluation
uucp,evaluation
v,evaluation
value,evaluation
various,evaluation
via,evaluation
viz,evaluation
vs,evaluation
w,evaluation
want,evaluation
wants,evaluation
was,evaluation
way,evaluation
we,evaluation
we'd,evaluation
we'll,evaluation
we're,evaluation
we've,evaluation
went,evaluation
were,evaluation
weren't,evaluation
what,evaluation
what's,evaluation
whatever,evaluation
when,evaluation
whence,evaluation
whenever,evaluation
where,evaluation
where's,evaluation
whereafter,evaluation
whereas,evaluation
whereby,evaluation
wherein,evaluation
whereupon,evaluation
wherever,evaluation
whether,evaluation
which,evaluation
while,evaluation
whither,evaluation
who,evaluation
who's,evaluation
whoever,evaluation
whole,evaluation
whom,evaluation
whose,evaluation
why,evaluation
will,evaluation
wish,evaluation
with,evaluation
within,evaluation
without,evaluation
wonder,evaluation
would,evaluation
x,evaluation
y,evaluation
yes,evaluation
yet,evaluation
you,evaluation
you'd,evaluation
you'll,evaluation
you're,evaluation
you've,evaluation
your,evaluation
yours,evaluation
yourself,evaluation
yourselves,evaluation
z,evaluation
zero,evaluation
she's,evaluation
he'd,evaluation
she'd,evaluation
he'll,evaluation
she'll,evaluation
when's,evaluation
why's,evaluation
how's,evaluation
area,evaluation
areas,evaluation
back,evaluation
backed,evaluation
backing,evaluation
backs,evaluation
began,evaluation
beings,evaluation
case,evaluation
cases,evaluation
downed,evaluation
downing,evaluation
downs,evaluation
early,evaluation
end,evaluation
ended,evaluation
ending,evaluation
ends,evaluation
evenly,evaluation
face,evaluation
faces,evaluation
fact,evaluation
facts,evaluation
felt,evaluation
find,evaluation
finds,evaluation
furthered,evaluation
furthering,evaluation
furthers,evaluation
gave,evaluation
general,evaluation
generally,evaluation
give,evaluation
goods,evaluation
group,evaluation
grouped,evaluation
grouping,evaluation
groups,evaluation
lets,evaluation
made,evaluation
make,evaluation
making,evaluation
man,evaluation
member,evaluation
members,evaluation
men,evaluation
mr,evaluation
mrs,evaluation
needing,evaluation
number,evaluation
numbers,evaluation
opened,evaluation
opening,evaluation
opens,evaluation
ordered,evaluation
ordering,evaluation
orders,evaluation
part,evaluation
parted,evaluation
parting,evaluation
parts,evaluation
place,evaluation
places,evaluation
point,evaluation
pointed,evaluation
pointing,evaluation
points,evaluation
put,evaluation
puts,evaluation
room,evaluation
rooms,evaluation
seconds,evaluation
sees,evaluation
showed,evaluation
showing,evaluation
shows,evaluation
side,evaluation
sides,evaluation
state,evaluation
states,evaluation
thing,evaluation
things,evaluation
thinks,evaluation
thought,evaluation
thoughts,evaluation
today,evaluation
turn,evaluation
turned,evaluation
turning,evaluation
turns,evaluation
ways,evaluation
wells,evaluation
year,evaluation
years,evaluation
stuff,evaluation
professor,optional
prof,optional
professors,optional
teacher,optional
teachers,optional
teach,optional
dr.,optional
dr,optional
guy,optional
class,optional
classes,optional
student,optional
students,optional
teaching,optional
taught,optional
only,optional
lot,optional
more,optional
always,optional
use,optional
ask,optional
take,optional
using,optional
asking,optional
taking,optional
try,optional
trying,optional
tried,optional
show,optional
showing,optional
showed,optional
shown,optional
lab,optional
people,optional
day,optional
keep,optional
person,optional
write,optional
writing,optional
feel,optional
history,optional
instructor,optional
instructors,optional
felt,optional
school,optional
college,optional
university,optional
based,optional
not,optional
very,optional
