"","gender","kage","k_read_irt","k_read1","k_read2","k_read3","k_read4","k_print","k_read_tht","k_math_irt","k_math1","k_math2","k_math3","k_math4","k_math_tht","k_gk_irt","k_gk_tht","f_mtr","g_mtr","P1LEARN","P1CONTRO","P1SOCIAL","P1SADLON","P1IMPULS","ars_lit","ars_mth","ars_gk","T1LEARN","T1CONTRO","T1INTERP","T1EXTERN","T1INTERN","height","weight","bmi","hisp","na_amer","asian","black","pac_isl","white","m_race","ses_c","ses_cat","poor","income","g8_read","g8_read_tht","g8_math","g8_math_tht","g8_sci","g8_sci_tht"
"23",0,65.77,37.5,0.949,0.412,0.138,0.002,3,-0.842,28.04,0.997,0.819,0.171,0.005,-0.775,31.379,0.327,8,8,2.67,2.6,3.67,1.25,2,2.86,2.67,2.39,3,3,3,2.2,1.5,45,47,16.32,2,2,2,2,2,1,2,1.45,5,2,70000,196.97,1.71,164.64,1.95,100.48,1.855
"24",0,65.5,36.31,0.923,0.322,0.098,0.001,1,-0.922,24.92,0.992,0.64,0.06,0.002,-0.98,27.194,0.056,7,8,3.33,3.4,4,1,1.5,2.46,2.29,2.46,3.67,2.5,3.25,1,1,43,38.5,14.81,1,2,2,2,2,2,2,-0.12,3,2,45000,161.1,1.142,110.55,0.89,81.7,0.698
"25",-1,71.8,40.1,0.979,0.623,0.263,0.007,0,-0.628,41.7,1,0.991,0.903,0.177,-0.088,30.702,0.285,9,5,2.83,2.6,3.5,1.5,1.5,3.15,3.33,3.63,4,4,4,1,1.5,43,56,21.06,2,2,2,2,2,1,2,-0.21,3,2,60000,116.16,0.706,141.65,1.391,64.77,-0.015
"26",0,74.5,47.14,0.997,0.924,0.696,0.072,3,-0.276,32.97,0.999,0.943,0.488,0.022,-0.496,24.118,-0.148,8,7,3.33,3.4,4,1.25,2,2.86,3.12,3.23,3.5,3.25,3.4,1.4,1.25,43.25,46,17.09,2,2,2,2,2,1,2,-0.32,2,2,70000,181.13,1.393,143.13,1.419,87.12,0.961
"27",0,69.67,33.27,0.792,0.139,0.038,0,3,-1.138,24.09,0.99,0.575,0.044,0.001,-1.041,20.494,-0.399,7,8,3,2.8,3.67,1.5,2.5,2.77,2.79,2.46,3,3,2.6,1,1,41.25,39,16.11,2,2,2,2,2,1,2,-0.41,2,2,50000,204.08,1.986,145.79,1.471,81.01,0.662
"28",0,67.27,41.84,0.988,0.746,0.369,0.013,3,-0.568,44.46,1,0.994,0.944,0.282,0.017,19.78,-0.45,7,8,4,4,4,1.25,1,2.58,2.56,2.46,3,3,2.6,1,1.5,42.5,38,14.79,2,2,2,2,2,1,2,1.22,5,2,79000,190.47,1.553,152.36,1.604,95.69,1.475
"29",-1,74.67,43.05,0.992,0.803,0.454,0.02,3,-0.509,54.84,1,0.999,0.993,0.737,0.394,40.819,0.974,7,6,2.5,2.4,2.33,2,2,2.86,3.31,3.92,3.5,3.5,3.2,1.6,1.25,47.25,46.38,14.8,2,2,2,2,2,1,2,1.58,5,2,1e+05,195.13,1.657,160.02,1.794,100.69,1.883
"30",0,67.47,31.27,0.636,0.072,0.02,0,2,-1.297,35.53,1,0.966,0.657,0.042,-0.369,22.616,-0.249,9,5,3.17,2,3.33,2,1,2.45,3.41,2.26,3,3.5,3,1.2,1,44.5,39.25,14.02,2,2,2,2,2,1,2,1.06,5,2,320000,191.11,1.567,150.37,1.561,99.19,1.739
"31",0,64.03,34.17,0.844,0.181,0.051,0.001,2,-1.073,22.53,0.982,0.435,0.023,0.001,-1.163,14.027,-0.922,9,3,2.83,2.8,3.33,1,1,2.16,1.99,1.75,4,3.25,4,1,1.25,45.75,52.5,17.91,2,2,2,2,2,1,2,0.44,4,2,70000,188.75,1.52,150.24,1.555,97,1.568
"32",-1,70.83,26.11,0.146,0.009,0.003,0,2,-1.718,17.87,0.881,0.106,0.002,0,-1.567,28.921,0.166,5,6,3.67,2.4,3,1.5,2.5,3.05,2.9,3.44,2.4,2.25,2.4,1.8,1.25,45.38,42.75,14.68,2,2,2,2,2,1,2,-0.56,2,2,23000,191.95,1.583,155.94,1.688,87.66,0.987
"33",0,63.93,35.2,0.889,0.242,0.071,0.001,1,-1.006,27.68,0.997,0.805,0.153,0.004,-0.796,20.547,-0.396,7,8,3.67,3.8,3.33,1.25,1.5,2.96,2.95,3.44,2.83,3,3,1.6,1.75,45.75,51.75,17.19,2,2,2,2,2,1,2,0.54,4,2,75000,195.89,1.678,166.06,2.01,78.02,0.532
"34",-1,65.73,34.28,0.849,0.188,0.053,0.001,3,-1.067,29.37,0.998,0.868,0.242,0.008,-0.694,29.47,0.204,9,8,3.33,2.4,3.67,1.75,1.5,3.46,2.9,3.92,3.67,3,3.4,1.6,1,43.25,39,14.66,2,2,2,2,2,1,2,-0.58,2,1,19000,145.6,0.983,108.7,0.868,73.02,0.312
"35",0,73.03,48.99,0.998,0.947,0.769,0.117,3,-0.182,32.24,0.999,0.932,0.436,0.018,-0.543,33.841,0.493,7,8,3.33,3.6,4,1.75,1,3.25,3.88,3.92,4,4,4,1,1,49,56.5,16.54,2,2,2,2,2,1,2,0.63,5,2,150000,194.07,1.631,133.6,1.25,90.34,1.135
"36",0,65.77,41.57,0.987,0.72,0.355,0.012,3,-0.624,41.55,1,0.99,0.898,0.166,-0.094,31.465,0.333,6,6,3.17,3,4,1.5,1.5,2.86,3.02,2.95,3.83,3,2.6,1,2.5,44,40.5,14.71,2,2,2,2,2,1,2,0.64,5,2,54000,197.06,1.712,166.95,2.055,99.85,1.8
"37",0,69.9,40.59,0.982,0.659,0.293,0.008,3,-0.637,31.11,0.999,0.911,0.354,0.013,-0.59,29.681,0.215,6,8,3.17,3,3.67,1.25,1,3.25,3.44,2.95,3.5,3.75,3.4,1.2,1.25,43.63,40,14.86,2,2,2,2,2,1,2,1.42,5,2,4e+05,199.3,1.781,162.66,1.877,97.2,1.582
"38",-1,63.9,28.38,0.342,0.025,0.007,0,3,-1.526,20.12,0.953,0.237,0.008,0,-1.36,16.782,-0.682,7,2,3.83,4,4,1.25,2,1.9,1.99,2,3.17,3.5,3.4,1,1.5,43.5,37.5,13.96,1,2,2,2,2,1,2,0.64,5,2,160000,152.62,1.053,144.29,1.439,65.68,0.027
"39",-1,65.37,55.36,1,0.985,0.924,0.358,3,0.024,83.24,1,1,1,0.983,0.953,41.497,1.071,5,6,3.83,3.4,4,1.75,2,3.35,4.25,4.92,4,3.75,3.8,1.6,1.25,39,26,10.44,2,2,2,2,2,1,2,1.53,5,2,35000,199.64,1.793,169.55,2.221,106.64,2.691
"40",0,79,43.59,0.993,0.826,0.49,0.025,3,-0.45,33.73,0.999,0.951,0.54,0.027,-0.459,24.802,-0.101,8,8,3.17,3,4,1.75,2,1.9,1.86,1.31,2.83,2,2.2,2.4,1.5,43.5,36,13.56,2,2,2,2,2,1,2,-0.46,2,2,28000,130.59,0.85,132.98,1.241,58.22,-0.262
"41",-1,68.83,46.15,0.997,0.905,0.645,0.056,2,-0.313,44.28,1,0.994,0.945,0.272,0.035,26.622,0.018,8,5,2.5,2.8,3,1.5,1.5,4.32,4.42,4.92,3.83,4,4,1,1,47,44.75,14.17,2,2,2,1,2,1,2,0.79,5,2,48000,193.22,1.611,168.89,2.174,105.75,2.516
"42",0,74.87,44.07,0.994,0.845,0.525,0.029,3,-0.427,32.1,0.999,0.929,0.422,0.017,-0.558,23.606,-0.183,9,8,2.5,2.8,3.33,1.75,1.5,3.45,3.99,4.19,3.67,3.75,3.2,1.6,2,46.5,60,19.46,2,2,2,2,2,1,2,0.04,3,2,37000,185.14,1.454,139.69,1.358,81.59,0.69
"43",0,72.2,33.52,0.809,0.15,0.042,0,1,-1.121,29.5,0.998,0.872,0.249,0.008,-0.69,20.716,-0.382,8,7,3.17,2.4,4,1.75,1.5,3.35,3.55,3.44,3.17,2.5,2.8,2,1.5,48,56,16.54,2,2,2,2,2,1,2,0.97,5,2,60000,190.18,1.547,165.24,1.976,106.44,2.646
"44",-1,74.77,38.82,0.968,0.526,0.194,0.004,2,-0.753,27.93,0.997,0.815,0.164,0.005,-0.783,17.419,-0.629,8,5,3.17,2.6,2.67,1.75,3,1.21,1,1.02,2.67,2.75,1.8,1,1.5,45.75,49.5,16.71,2,2,2,2,2,1,2,-0.74,1,2,22000,110.58,0.645,142.8,1.413,74.22,0.368
"45",-1,67.3,34.11,0.84,0.179,0.05,0.001,1,-1.079,40.32,1,0.988,0.87,0.13,-0.156,37.009,0.707,9,7,2.83,3.2,3,2,2,2.86,2.77,2.67,2.5,3.5,3,1,2,40.38,33.25,13.91,2,2,2,2,2,1,2,-0.01,3,2,60000,198.25,1.748,166.71,2.043,95.72,1.475
"46",-1,72.87,35.28,0.891,0.245,0.072,0.001,3,-1.002,36.7,1,0.974,0.717,0.055,-0.321,28.535,0.144,6,4,2.67,3.2,3,1.75,2,3.25,2.87,2.95,3,2.75,2.8,2.8,2,48.25,55.5,16.59,2,2,2,2,2,1,2,0.19,4,2,62000,187.43,1.495,170.59,2.335,92.14,1.241
"47",0,66.8,40.79,0.983,0.675,0.309,0.009,3,-0.627,40.72,1,0.989,0.879,0.143,-0.13,29.865,0.226,7,8,3.5,2.8,2.67,1.75,1.5,2.86,3.12,3.92,3.5,3,3.4,1,1.33,41.5,38,15.51,2,2,2,2,2,1,2,0.24,4,2,70000,192.47,1.595,168.01,2.115,100.96,1.904
"48",-1,72.4,61.85,1,0.994,0.965,0.679,3,0.216,42.66,1,0.992,0.919,0.207,-0.07,28.809,0.158,5,6,3,3,2.33,2,2,4.04,3.69,4.4,3.83,3.75,3.8,1.2,1.25,43.25,45,17.11,2,2,1,2,1,2,2,1.32,5,2,150000,204.71,2.022,167.41,2.078,104.6,2.332
"49",-1,75.17,44.52,0.995,0.861,0.551,0.033,2,-0.404,21.03,0.968,0.313,0.012,0,-1.275,25.549,-0.052,5,8,2.5,3,2.67,1.75,4,3.05,2.93,2.46,2.33,2,1.8,2.4,1,49.75,74.25,20.5,1,2,2,2,2,2,2,-1.79,1,2,19000,122.17,0.771,118.75,1.013,40.25,-0.96
"50",0,69.53,30.72,0.586,0.06,0.016,0,3,-1.355,27.86,0.997,0.812,0.162,0.005,-0.76,23.808,-0.167,7,8,3.33,2,2.67,1.5,2,2.38,2.23,2.67,3.17,4,4,1.6,1.33,44,39.5,14.34,2,2,2,2,2,1,2,-0.33,2,1,33000,181.51,1.4,150.73,1.569,80.04,0.621
"51",0,74.33,31.56,0.662,0.08,0.022,0,3,-1.277,27.11,0.996,0.777,0.129,0.004,-0.834,14.924,-0.835,6,8,2.83,2.8,2.33,1.75,1.5,1.9,1.99,1.31,4,4,4,1,1,47.5,51.5,16.2,2,1,2,2,2,2,1,-0.08,3,1,28500,156.52,1.091,132.78,1.238,73.22,0.323
"52",0,73.43,28.86,0.39,0.03,0.008,0,1,-1.486,16.04,0.75,0.047,0.001,0,-1.754,17.74,-0.604,4,7,3.33,2.8,4,1.5,1.5,1.74,2.45,2.65,2.67,3.25,3.4,1,2,44,45.5,16.34,2,2,2,2,2,1,2,-0.9,1,2,15000,161.9,1.151,119.89,1.03,59.22,-0.202
"53",0,66.1,40.46,0.981,0.65,0.283,0.008,1,-0.642,30.85,0.999,0.906,0.335,0.012,-0.605,22.983,-0.224,2,5,3,2.6,1.33,2,1,3.15,3.55,3.44,3.83,3.5,3.8,1,1.5,47.25,61.5,19.49,2,2,2,2,2,1,2,1.08,5,2,1e+05,193.36,1.615,172.14,2.545,102.12,2.027
"54",-1,71.17,39.27,0.972,0.56,0.217,0.005,2,-0.729,27.75,0.997,0.809,0.157,0.004,-0.792,25.054,-0.084,6,8,2.83,2.8,3.67,1.25,1.5,3.58,3.55,3.86,2.5,2.5,2.2,2,2,44.5,42,14.84,2,2,2,2,2,1,2,0.43,4,2,75000,197.95,1.737,162.06,1.859,102.28,2.039
"55",-1,64.8,28.27,0.332,0.024,0.007,0,2,-1.531,18.95,0.923,0.159,0.004,0,-1.466,24.824,-0.1,6,7,3.17,2.2,3.33,1.75,3.5,2.04,2.15,2.46,2.5,3,2.4,1,1,45.75,42,14.26,2,2,2,2,2,1,2,-0.28,3,2,40000,96.48,0.486,99.08,0.733,62.46,-0.099
"56",0,64.77,27.21,0.234,0.015,0.004,0,3,-1.618,24.04,0.99,0.575,0.044,0.001,-1.046,12.584,-1.066,8,6,3,3.2,2.67,2,3.5,1.72,2.67,2.33,3,3.25,3.4,1.8,1.25,44.5,41.75,14.82,2,2,2,2,2,1,2,0.68,5,2,90000,187.56,1.497,119.5,1.024,94.15,1.367
"57",-1,67.03,50.1,0.999,0.958,0.808,0.146,3,-0.154,52.18,1,0.998,0.989,0.623,0.292,31.05,0.306,9,8,3.67,3.2,3.33,1.5,1,3.15,3.23,3.23,3.33,2.75,3,1.8,1.5,44.2,41,14.54,1,2,2,2,2,2,2,1.69,5,2,2e+05,189.78,1.539,162.05,1.856,88.42,1.031
"58",0,72.77,38.91,0.969,0.528,0.201,0.004,3,-0.747,24.85,0.992,0.634,0.06,0.002,-0.984,21.907,-0.298,6,8,3,3.2,3.33,1.5,1.5,3.46,3.01,2.95,2.83,3.25,2.75,1,1.75,48,62.5,19.3,2,2,2,1,2,2,2,-0.53,2,2,28000,163.63,1.17,156.36,1.696,95.2,1.437
"59",-1,66.47,36.77,0.935,0.355,0.112,0.002,3,-0.893,35.59,1,0.967,0.662,0.043,-0.386,38.147,0.78,7,3,3.5,2.6,3.33,1.25,1.5,3.15,3.51,4.4,2.67,2.75,3,1.6,1.5,45.5,45,15.2,2,2,1,2,2,1,2,1.82,5,2,95000,195.97,1.68,159.47,1.778,95.45,1.455
"60",-1,67.8,36.32,0.924,0.321,0.099,0.001,3,-0.922,31.74,0.999,0.923,0.395,0.015,-0.56,19.827,-0.445,9,8,3.83,2,3.67,1.25,2.5,2.96,4.11,4.4,3.67,3.25,3.8,1.25,1.25,46,43.5,14.45,2,2,2,1,2,2,2,-0.18,3,2,41000,167.2,1.212,156.97,1.711,92.94,1.289
"61",-1,73.1,46.97,0.997,0.92,0.688,0.07,2,-0.279,38.35,1,0.981,0.803,0.083,-0.233,35.145,0.578,4,7,3.83,2.8,4,2.5,2,2.77,2.23,2.95,3.83,3.75,3.6,1.2,1.75,45.38,66.5,22.83,2,2,2,2,2,1,2,-0.42,2,2,60000,202.45,1.903,157.03,1.711,106.84,2.73
"62",0,63.67,27.5,0.262,0.017,0.005,0,0,-1.591,19.29,0.934,0.181,0.005,0,-1.436,17.695,-0.607,7,7,2.5,2.2,3.33,2.25,1.5,2.28,2.23,2.26,3,3,3.4,1.8,1.5,43.25,40,15.03,1,2,2,2,2,1,2,0.02,3,2,1e+05,167.9,1.218,89.61,0.613,83.32,0.774
"63",0,74.83,40.23,0.98,0.631,0.271,0.007,3,-0.656,24.57,0.991,0.614,0.054,0.001,-1.005,23.884,-0.164,6,6,3.67,2.8,3,2,2,3.46,3.77,4.19,4,4,4,1,1.75,44.25,36,12.75,2,2,2,1,2,2,2,0.09,4,2,43000,194.91,1.653,156.1,1.69,93.74,1.342
"64",-1,70.37,28.45,0.35,0.025,0.007,0,0,-1.531,23.62,0.988,0.535,0.037,0.001,-1.075,13.964,-0.924,5,8,3.17,3.6,4,1.25,1.5,2.48,2.34,1.75,2.17,3,3,1.2,2.25,46.25,46,15.12,2,2,2,1,2,2,2,0.02,3,2,25000,125.13,0.798,135.64,1.285,85.91,0.898
"65",-1,67.37,34.37,0.853,0.192,0.054,0.001,3,-1.061,23.88,0.989,0.558,0.042,0.001,-1.055,34.03,0.501,5,7,3.5,1.4,3.33,2.25,2.5,3.02,3.55,4.19,2.17,3.67,2.8,1.4,2,42.5,40.5,15.76,2,2,2,1,2,2,2,2.28,5,2,150000,145.8,0.985,145.25,1.459,87.17,0.967
"66",0,64.7,36.49,0.928,0.333,0.104,0.002,3,-0.912,24.76,0.992,0.628,0.058,0.001,-0.99,21.143,-0.351,5,7,3.33,2.6,4,1.25,1,2.86,3.44,3.01,3.17,3,2.8,1.8,1.75,41.25,38,15.89,2,2,2,2,2,1,2,0.29,4,2,50000,146.71,0.993,139.08,1.345,72.21,0.289
"67",-1,63.6,34.46,0.858,0.198,0.056,0.001,3,-1.061,31.33,0.999,0.915,0.369,0.014,-0.58,23.982,-0.157,4,8,3.17,2,4,2.25,2.5,1.72,2.45,2,3.5,3.75,3,1.8,1.25,43.1,46,17.49,2,2,2,2,2,1,2,-0.63,2,2,30000,195.41,1.665,137.67,1.321,81.55,0.686
"68",0,70.47,40.32,0.981,0.644,0.276,0.007,3,-0.653,28.59,0.998,0.843,0.199,0.006,-0.736,30.605,0.277,9,8,3.17,3.6,3.67,1.25,1.5,3.79,4.82,4.92,4,3.25,3.6,1.8,2,42.25,42,16.54,2,2,2,2,2,1,2,0.13,4,2,45000,190.67,1.556,167.75,2.101,89.8,1.109
"69",-1,71.87,69.2,1,0.998,0.985,0.885,3,0.446,43.45,1,0.993,0.931,0.236,-0.015,35.522,0.604,9,5,3,3.2,2.67,2,2,3.71,3.44,3.92,3.67,3.5,3.6,1.8,1.25,42.63,40.5,15.67,2,2,2,2,2,1,2,0.87,5,2,34000,173.35,1.287,167.74,2.101,98.85,1.711
"70",-1,70.23,34.36,0.853,0.192,0.054,0.001,1,-1.061,25.45,0.994,0.68,0.074,0.002,-0.94,30.086,0.242,7,8,3.83,2.4,3.33,1.25,2,2.86,2.54,2.67,3.17,3.25,3.6,2,1.25,44,43,15.62,2,2,1,2,2,2,2,0.02,3,2,50000,186.3,1.475,148.99,1.532,90.21,1.133
"71",0,64.67,25.93,0.134,0.008,0.002,0,1,-1.739,14.34,0.507,0.018,0,0,-1.974,18.701,-0.53,5,4,2.83,2.8,3,1.5,1.5,2.77,2.67,2.95,3.17,3,3.2,1.8,1,42.5,40.45,15.57,2,2,2,2,2,1,2,-0.48,2,2,20000,155.36,1.081,138.87,1.343,71.2,0.243
"72",0,65.1,49.21,0.998,0.949,0.774,0.124,3,-0.182,43.23,1,0.993,0.93,0.228,-0.022,22.563,-0.254,5,8,2.83,2.2,4,2.5,1.5,4.04,4.11,4.63,3.33,3.5,3.2,1.4,1.75,41.88,44,17.34,2,2,2,2,2,1,2,2.45,5,2,80000,204.73,2.023,169.94,2.253,106.44,2.646
"73",-1,79,33.69,0.82,0.158,0.044,0,1,-1.142,23.58,0.988,0.532,0.036,0.001,-1.077,20.392,-0.407,7,3,2.83,1.8,3.33,2.5,3,2.04,2.18,2.67,3.17,2.75,2.8,1.4,1.5,45.5,45,15.28,2,2,1,2,2,1,2,-0.67,1,1,20000,141.99,0.951,143.79,1.43,87.9,1
"74",-1,75.47,40.72,0.983,0.669,0.298,0.009,1,-0.629,25.29,0.993,0.667,0.07,0.002,-0.953,33.201,0.449,4,8,3.17,3,3.33,1.5,1.5,3.35,3.48,3.92,3.67,4,3.6,1,1,47,51.5,16.55,2,2,2,2,2,1,2,-0.3,3,2,221000,99.3,0.528,108.04,0.857,57.72,-0.286
"75",-1,71.2,34.84,0.874,0.22,0.063,0.001,3,-1.023,23.84,0.989,0.553,0.04,0.001,-1.056,23.904,-0.162,3,6,2.33,2.8,2,1.75,1.5,2.38,2.45,2,2.83,3,2.6,2,2,45.5,46.5,15.88,2,2,2,2,2,1,2,0.67,5,2,50000,175.48,1.314,122.89,1.075,69.89,0.191
